,sources,targets,q_total,IndexAvg,weights
874,Italy,Czechia,15.693999999999999,0.63,9579.352
875,Japan,Czechia,149.71699999999998,1.23,69993.533
876,Republic of Korea,Czechia,47.668,0.75,28784.924
877,Latvia,Czechia,0.013,0.67,355.83900000000006
878,Lithuania,Czechia,0.6960000000000001,0.78,458.13199999999995
879,Luxembourg,Czechia,0.489,1.71,127.797
880,Malaysia,Czechia,223.301,0.36,23304.784
881,Malta,Czechia,0.003,1.12,58.887
882,Mexico,Czechia,0.272,-0.17,19859.502
883,"Other Asia, not elsewhere specified",Czechia,9.606,,13215.868999999999
884,Montenegro,Czechia,0.002,0.05,30.244
885,Oman,Czechia,0.034,0.24,265.376
886,Netherlands,Czechia,63.588,1.69,36637.42799999999
887,New Zealand,Czechia,0.003,1.78,474.91700000000003
888,"Norway, Svalbard and Jan Mayen",Czechia,1.752,1.73,2245.9860000000003
889,Philippines,Czechia,0.013000000000000001,-0.37,4481.732
890,Poland,Czechia,85.517,0.71,21556.831
891,Portugal,Czechia,0.002,1.09,724.57
892,Romania,Czechia,0.046,0.11,5213.838
893,Serbia,Czechia,0.053,-0.32,640.7230000000002
894,India,Czechia,0.103,-0.23,12479.099999999999
895,Singapore,Czechia,24.165,1.52,57683.688
896,Slovakia,Czechia,13.486,0.7,1870.2870000000003
897,Viet Nam,Czechia,0.003,-0.48,5188.044
898,Slovenia,Czechia,0.024999999999999998,0.97,761.7780000000001
899,Spain,Czechia,0.41200000000000003,0.95,7276.441000000001
900,Sweden,Czechia,7.683,1.73,8622.961
901,"Switzerland, Liechtenstein",Czechia,132.32,1.75,3995.692
902,"Switzerland, Liechtenstein",Czechia,132.32,1.54,3995.692
903,Thailand,Czechia,0.009,-0.14,5499.867
904,United Kingdom,Czechia,97.767,1.46,34960.074
905,Australia,Benin,0.009,1.58,6158.040999999998
906,Belgium,Benin,0.10800000000000001,1.31,12239.12
907,Germany,Benin,0.049,1.49,23017.288
908,"China, Hong Kong Special Administrative Region",Benin,0.031,1.35,99971.2
909,Singapore,Benin,0.043000000000000003,1.52,57683.688
910,South Africa,Benin,0.029,0.29,58175.628000000004
911,Angola,Denmark,0.002,-1.14,1332.205
912,Austria,Denmark,0.40800000000000003,1.55,3394.051
913,Belgium,Denmark,24.215,1.31,12239.12
914,Bulgaria,Denmark,0.7839999999999999,0.18,1117.8220000000001
915,Canada,Denmark,0.022,1.62,17531.729000000003
916,China,Denmark,6435.0,-0.49,411379.754
917,Croatia,Denmark,0.014,0.34,252.433
918,Czechia,Denmark,216.154,0.9,4658.562
919,Estonia,Denmark,0.054,1.07,662.395
920,Finland,Denmark,1.1280000000000001,1.84,2664.9170000000004
921,"France, Monaco",Denmark,28.923000000000002,1.19,14637.760999999999
922,Germany,Denmark,107.221,1.49,23017.288
923,Greece,Denmark,11.231,0.5,3915.5150000000003
924,"China, Hong Kong Special Administrative Region",Denmark,106.465,1.35,99971.2
925,Hungary,Denmark,0.132,0.75,2429.925
926,Iceland,Denmark,0.24,1.61,103.019
927,Indonesia,Denmark,0.02,-0.49,25303.601000000002
928,Ireland,Denmark,8.945,1.48,1538.568
929,Israel,Denmark,0.045,0.63,6832.461
930,Italy,Denmark,0.443,0.63,9579.352
931,Japan,Denmark,0.19899999999999998,1.23,69993.533
932,Republic of Korea,Denmark,14.578,0.75,28784.924
933,Latvia,Denmark,0.016,0.67,355.83900000000006
934,Lithuania,Denmark,0.5760000000000001,0.78,458.13199999999995
935,Luxembourg,Denmark,0.20600000000000002,1.71,127.797
936,Malaysia,Denmark,0.030000000000000002,0.36,23304.784
937,Malta,Denmark,0.042,1.12,58.887
938,Mexico,Denmark,0.006,-0.17,19859.502
939,"Other Asia, not elsewhere specified",Denmark,0.5609999999999999,,13215.868999999999
940,Netherlands,Denmark,141.60699999999997,1.69,36637.42799999999
941,"Norway, Svalbard and Jan Mayen",Denmark,24.105999999999998,1.73,2245.9860000000003
942,Poland,Denmark,119.606,0.71,21556.831
943,Portugal,Denmark,0.074,1.09,724.57
944,Romania,Denmark,0.084,0.11,5213.838
945,Russian Federation,Denmark,0.071,-0.71,18765.510000000002
946,Singapore,Denmark,0.534,1.52,57683.688
947,Slovakia,Denmark,0.124,0.7,1870.2870000000003
948,Slovenia,Denmark,0.064,0.97,761.7780000000001
949,South Africa,Denmark,0.278,0.29,58175.628000000004
950,Spain,Denmark,0.6980000000000001,0.95,7276.441000000001
951,Sweden,Denmark,68.414,1.73,8622.961
952,"Switzerland, Liechtenstein",Denmark,7.022,1.75,3995.692
953,"Switzerland, Liechtenstein",Denmark,7.022,1.54,3995.692
954,Thailand,Denmark,0.101,-0.14,5499.867
955,Turkey,Denmark,0.04,-0.2,7544.607
956,Ukraine,Denmark,0.265,-0.62,978.1
957,Egypt,Denmark,0.002,-0.66,3431.311
958,United Kingdom,Denmark,162.233,1.46,34960.074
959,Brazil,Dominican Republic,0.002,-0.03,13792.235999999999
960,Bulgaria,Dominican Republic,0.008,0.18,1117.8220000000001
961,China,Dominican Republic,111.45499999999998,-0.49,411379.754
962,"France, Monaco",Dominican Republic,0.025,1.19,14637.760999999999
963,Germany,Dominican Republic,0.135,1.49,23017.288
964,Guatemala,Dominican Republic,0.6789999999999999,-0.6,226.006
965,"China, Hong Kong Special Administrative Region",Dominican Republic,1.9669999999999999,1.35,99971.2
966,Hungary,Dominican Republic,0.037,0.75,2429.925
967,Netherlands,Dominican Republic,0.015,1.69,36637.42799999999
968,"Norway, Svalbard and Jan Mayen",Dominican Republic,0.001,1.73,2245.9860000000003
969,Austria,Ecuador,0.041,1.55,3394.051
970,Belgium,Ecuador,0.016,1.31,12239.12
971,Brazil,Ecuador,0.113,-0.03,13792.235999999999
972,Canada,Ecuador,0.026,1.62,17531.729000000003
973,Chile,Ecuador,0.051,1.12,1175.6370000000002
974,China,Ecuador,182.35299999999998,-0.49,411379.754
975,Colombia,Ecuador,0.53,-0.38,582.9689999999999
976,"France, Monaco",Ecuador,0.07100000000000001,1.19,14637.760999999999
977,Germany,Ecuador,1.099,1.49,23017.288
978,"China, Hong Kong Special Administrative Region",Ecuador,0.22,1.35,99971.2
979,Indonesia,Ecuador,12.58,-0.49,25303.601000000002
980,Israel,Ecuador,0.006,0.63,6832.461
981,Italy,Ecuador,0.153,0.63,9579.352
982,Japan,Ecuador,1.7149999999999999,1.23,69993.533
983,Republic of Korea,Ecuador,0.28700000000000003,0.75,28784.924
984,Mexico,Ecuador,0.003,-0.17,19859.502
985,"Other Asia, not elsewhere specified",Ecuador,1.2939999999999998,,13215.868999999999
986,Netherlands,Ecuador,0.041,1.69,36637.42799999999
987,"Norway, Svalbard and Jan Mayen",Ecuador,0.013,1.73,2245.9860000000003
988,Panama,Ecuador,0.38899999999999996,0.12,195.44399999999996
989,Poland,Ecuador,0.072,0.71,21556.831
990,Portugal,Ecuador,0.007,1.09,724.57
991,India,Ecuador,0.467,-0.23,12479.099999999999
992,Singapore,Ecuador,2.11,1.52,57683.688
993,Viet Nam,Ecuador,0.026,-0.48,5188.044
994,Spain,Ecuador,0.22,0.95,7276.441000000001
995,Sweden,Ecuador,0.061,1.73,8622.961
996,"Switzerland, Liechtenstein",Ecuador,0.07100000000000001,1.75,3995.692
997,"Switzerland, Liechtenstein",Ecuador,0.07100000000000001,1.54,3995.692
998,Thailand,Ecuador,0.054,-0.14,5499.867
999,United Arab Emirates,Ecuador,0.027999999999999997,0.55,17822.197999999997
1000,United Kingdom,Ecuador,0.734,1.46,34960.074
1001,Brazil,El Salvador,0.01,-0.03,13792.235999999999
1002,Canada,El Salvador,0.015,1.62,17531.729000000003
1003,China,El Salvador,261.751,-0.49,411379.754
1004,Costa Rica,El Salvador,0.175,0.62,145.71
1005,Czechia,El Salvador,0.046,0.9,4658.562
1006,Denmark,El Salvador,0.002,1.78,7989.049999999999
1007,"France, Monaco",El Salvador,0.01,1.19,14637.760999999999
1008,Germany,El Salvador,0.068,1.49,23017.288
1009,Guatemala,El Salvador,1.047,-0.6,226.006
1010,Indonesia,El Salvador,0.9890000000000001,-0.49,25303.601000000002
1011,Ireland,El Salvador,0.033,1.48,1538.568
1012,Japan,El Salvador,9.647,1.23,69993.533
1013,Jordan,El Salvador,0.001,-0.04,209.025
1014,Mexico,El Salvador,0.314,-0.17,19859.502
1015,"Other Asia, not elsewhere specified",El Salvador,0.045,,13215.868999999999
1016,Nicaragua,El Salvador,0.001,-0.58,24.707
1017,Panama,El Salvador,0.029,0.12,195.44399999999996
1018,Singapore,El Salvador,0.05,1.52,57683.688
1019,Viet Nam,El Salvador,0.085,-0.48,5188.044
1020,Spain,El Salvador,0.433,0.95,7276.441000000001
1021,Sweden,El Salvador,0.027,1.73,8622.961
1022,"Switzerland, Liechtenstein",El Salvador,0.015,1.75,3995.692
1023,"Switzerland, Liechtenstein",El Salvador,0.015,1.54,3995.692
1024,Austria,Ethiopia,0.265,1.55,3394.051
1025,Bulgaria,Ethiopia,0.105,0.18,1117.8220000000001
1026,Belarus,Ethiopia,0.007,-0.79,387.173
1027,China,Ethiopia,29.284,-0.49,411379.754
1028,Denmark,Ethiopia,0.084,1.78,7989.049999999999
1029,Germany,Ethiopia,0.08499999999999999,1.49,23017.288
1030,Italy,Ethiopia,0.018,0.63,9579.352
1031,Japan,Ethiopia,0.25,1.23,69993.533
1032,Kenya,Ethiopia,0.301,-0.67,607.021
1033,Republic of Korea,Ethiopia,0.592,0.75,28784.924
1034,Malaysia,Ethiopia,0.102,0.36,23304.784
1035,Netherlands,Ethiopia,0.224,1.69,36637.42799999999
1036,Poland,Ethiopia,0.025,0.71,21556.831
1037,Serbia,Ethiopia,0.028,-0.32,640.7230000000002
1038,India,Ethiopia,0.114,-0.23,12479.099999999999
1039,Viet Nam,Ethiopia,0.186,-0.48,5188.044
1040,South Africa,Ethiopia,1.246,0.29,58175.628000000004
1041,"Switzerland, Liechtenstein",Ethiopia,0.043,1.75,3995.692
1042,"Switzerland, Liechtenstein",Ethiopia,0.043,1.54,3995.692
1043,United Arab Emirates,Ethiopia,5.016,0.55,17822.197999999997
1044,Turkey,Ethiopia,0.076,-0.2,7544.607
1045,United Kingdom,Ethiopia,0.111,1.46,34960.074
1046,Austria,Estonia,0.23099999999999998,1.55,3394.051
1047,Belgium,Estonia,4.877000000000001,1.31,12239.12
1048,Sri Lanka,Estonia,0.008,-0.27,214.094
1049,China,Estonia,445.337,-0.49,411379.754
1050,Czechia,Estonia,2.215,0.9,4658.562
1051,Denmark,Estonia,0.30800000000000005,1.78,7989.049999999999
1052,Finland,Estonia,20.385,1.84,2664.9170000000004
1053,"France, Monaco",Estonia,0.9239999999999999,1.19,14637.760999999999
1054,Germany,Estonia,20.055999999999997,1.49,23017.288
1055,"China, Hong Kong Special Administrative Region",Estonia,0.051000000000000004,1.35,99971.2
1056,Hungary,Estonia,0.016,0.75,2429.925
1057,Indonesia,Estonia,56.684,-0.49,25303.601000000002
1058,Ireland,Estonia,0.004,1.48,1538.568
1059,Israel,Estonia,0.646,0.63,6832.461
1060,Italy,Estonia,0.028000000000000004,0.63,9579.352
1061,Japan,Estonia,4.3759999999999994,1.23,69993.533
1062,Republic of Korea,Estonia,0.035,0.75,28784.924
1063,Latvia,Estonia,9.914000000000001,0.67,355.83900000000006
1064,Lithuania,Estonia,1.7280000000000002,0.78,458.13199999999995
1065,Luxembourg,Estonia,0.025,1.71,127.797
1066,Malaysia,Estonia,0.094,0.36,23304.784
1067,Mexico,Estonia,0.003,-0.17,19859.502
1068,"Other Asia, not elsewhere specified",Estonia,0.06,,13215.868999999999
1069,Netherlands,Estonia,5.138,1.69,36637.42799999999
1070,"Norway, Svalbard and Jan Mayen",Estonia,4.84,1.73,2245.9860000000003
1071,Philippines,Estonia,0.001,-0.37,4481.732
1072,Poland,Estonia,12.654,0.71,21556.831
1073,Portugal,Estonia,0.001,1.09,724.57
1074,India,Estonia,0.22699999999999998,-0.23,12479.099999999999
1075,Singapore,Estonia,1.0889999999999997,1.52,57683.688
1076,Slovakia,Estonia,0.34,0.7,1870.2870000000003
1077,Spain,Estonia,0.275,0.95,7276.441000000001
1078,Sweden,Estonia,2.495,1.73,8622.961
1079,"Switzerland, Liechtenstein",Estonia,0.046,1.75,3995.692
1080,"Switzerland, Liechtenstein",Estonia,0.046,1.54,3995.692
1081,Thailand,Estonia,0.063,-0.14,5499.867
1082,United Kingdom,Estonia,4.207,1.46,34960.074
1083,Australia,Fiji,0.594,1.58,6158.040999999998
1084,China,Fiji,13.073,-0.49,411379.754
1085,"China, Hong Kong Special Administrative Region",Fiji,1.783,1.35,99971.2
1086,Singapore,Fiji,12.256,1.52,57683.688
1087,United Kingdom,Fiji,0.013,1.46,34960.074
1088,Australia,Finland,0.351,1.58,6158.040999999998
1089,Austria,Finland,5.055,1.55,3394.051
1090,Belgium,Finland,4.932,1.31,12239.12
1091,Canada,Finland,3.709,1.62,17531.729000000003
1092,China,Finland,2348.188,-0.49,411379.754
1093,Czechia,Finland,0.65,0.9,4658.562
1094,Denmark,Finland,11.422,1.78,7989.049999999999
1095,Estonia,Finland,1.1860000000000002,1.07,662.395
1096,"France, Monaco",Finland,6.371,1.19,14637.760999999999
1097,Germany,Finland,66.258,1.49,23017.288
1098,Greece,Finland,0.08800000000000001,0.5,3915.5150000000003
1099,"China, Hong Kong Special Administrative Region",Finland,0.649,1.35,99971.2
1100,Hungary,Finland,0.010000000000000002,0.75,2429.925
1101,Iceland,Finland,0.01,1.61,103.019
1102,Indonesia,Finland,9.754,-0.49,25303.601000000002
1103,Ireland,Finland,0.016,1.48,1538.568
1104,Israel,Finland,3.563,0.63,6832.461
1105,Italy,Finland,0.056999999999999995,0.63,9579.352
1106,Japan,Finland,3.192,1.23,69993.533
1107,Republic of Korea,Finland,13.553,0.75,28784.924
1108,Latvia,Finland,0.018,0.67,355.83900000000006
1109,Lithuania,Finland,0.26,0.78,458.13199999999995
1110,Luxembourg,Finland,0.959,1.71,127.797
1111,Malaysia,Finland,6.7219999999999995,0.36,23304.784
1112,Mexico,Finland,0.23199999999999998,-0.17,19859.502
1113,"Other Asia, not elsewhere specified",Finland,0.277,,13215.868999999999
1114,Namibia,Finland,0.013,0.32,14860.949999999999
1115,Netherlands,Finland,17.258,1.69,36637.42799999999
1116,"Norway, Svalbard and Jan Mayen",Finland,3.541,1.73,2245.9860000000003
1117,Poland,Finland,28.028,0.71,21556.831
1118,Romania,Finland,0.751,0.11,5213.838
1119,Russian Federation,Finland,0.442,-0.71,18765.510000000002
1120,India,Finland,0.003,-0.23,12479.099999999999
1121,Singapore,Finland,6.600999999999999,1.52,57683.688
1122,Slovakia,Finland,0.098,0.7,1870.2870000000003
1123,Viet Nam,Finland,0.094,-0.48,5188.044
1124,Spain,Finland,0.061000000000000006,0.95,7276.441000000001
1125,Sweden,Finland,52.827,1.73,8622.961
1126,"Switzerland, Liechtenstein",Finland,4.115,1.75,3995.692
1127,"Switzerland, Liechtenstein",Finland,4.115,1.54,3995.692
1128,Thailand,Finland,0.101,-0.14,5499.867
1129,United Kingdom,Finland,11.097,1.46,34960.074
1130,Austria,"France, Monaco",4.925,1.55,3394.051
1131,Bahrain,"France, Monaco",0.01,0.05,79.94699999999999
1132,Belgium,"France, Monaco",205.31,1.31,12239.12
1133,Brazil,"France, Monaco",0.035,-0.03,13792.235999999999
1134,Bulgaria,"France, Monaco",0.127,0.18,1117.8220000000001
1135,Cameroon,"France, Monaco",0.05,-0.96,2320.045
1136,Canada,"France, Monaco",0.5269999999999999,1.62,17531.729000000003
1137,China,"France, Monaco",8773.072,-0.49,411379.754
1138,Colombia,"France, Monaco",0.001,-0.38,582.9689999999999
1139,Congo,"France, Monaco",1.0,-1.12,36.87
1140,Czechia,"France, Monaco",113.29999999999998,0.9,4658.562
1141,Denmark,"France, Monaco",5.541,1.78,7989.049999999999
1142,Finland,"France, Monaco",1.31,1.84,2664.9170000000004
1143,Germany,"France, Monaco",851.952,1.49,23017.288
1144,Greece,"France, Monaco",1.078,0.5,3915.5150000000003
1145,"China, Hong Kong Special Administrative Region","France, Monaco",4.6,1.35,99971.2
1146,Hungary,"France, Monaco",6.962,0.75,2429.925
1147,Iceland,"France, Monaco",0.07100000000000001,1.61,103.019
1148,Indonesia,"France, Monaco",111.098,-0.49,25303.601000000002
1149,Ireland,"France, Monaco",3.654,1.48,1538.568
1150,Israel,"France, Monaco",8.407,0.63,6832.461
1151,Italy,"France, Monaco",35.851000000000006,0.63,9579.352
1152,Japan,"France, Monaco",68.753,1.23,69993.533
1153,Kenya,"France, Monaco",0.033,-0.67,607.021
1154,Republic of Korea,"France, Monaco",23.201,0.75,28784.924
1155,Lithuania,"France, Monaco",1.4680000000000002,0.78,458.13199999999995
1156,Luxembourg,"France, Monaco",6.256,1.71,127.797
1157,Malaysia,"France, Monaco",35.065,0.36,23304.784
1158,Mauritius,"France, Monaco",0.026000000000000002,0.76,456.485
1159,Mexico,"France, Monaco",2.403,-0.17,19859.502
1160,"Other Asia, not elsewhere specified","France, Monaco",3.071,,13215.868999999999
1161,Morocco,"France, Monaco",0.007,-0.27,267.086
1162,Oman,"France, Monaco",0.017,0.24,265.376
1163,Netherlands,"France, Monaco",481.31600000000003,1.69,36637.42799999999
1164,"Norway, Svalbard and Jan Mayen","France, Monaco",7.121,1.73,2245.9860000000003
1165,Poland,"France, Monaco",50.731,0.71,21556.831
1166,Portugal,"France, Monaco",1.1920000000000002,1.09,724.57
1167,Romania,"France, Monaco",2.378,0.11,5213.838
1168,Russian Federation,"France, Monaco",0.01,-0.71,18765.510000000002
1169,Serbia,"France, Monaco",0.624,-0.32,640.7230000000002
1170,India,"France, Monaco",2.0709999999999997,-0.23,12479.099999999999
1171,Singapore,"France, Monaco",6.45,1.52,57683.688
1172,Slovakia,"France, Monaco",0.46199999999999997,0.7,1870.2870000000003
1173,Slovenia,"France, Monaco",0.06999999999999999,0.97,761.7780000000001
1174,South Africa,"France, Monaco",58.371,0.29,58175.628000000004
1175,Spain,"France, Monaco",157.481,0.95,7276.441000000001
1176,Sweden,"France, Monaco",26.747,1.73,8622.961
1177,"Switzerland, Liechtenstein","France, Monaco",35.956,1.75,3995.692
1178,"Switzerland, Liechtenstein","France, Monaco",35.956,1.54,3995.692
1179,Thailand,"France, Monaco",0.601,-0.14,5499.867
1180,United Arab Emirates,"France, Monaco",14.795000000000002,0.55,17822.197999999997
1181,Tunisia,"France, Monaco",182.496,-0.16,499.533
1182,Turkey,"France, Monaco",2.969,-0.2,7544.607
1183,United Kingdom,"France, Monaco",277.969,1.46,34960.074
1184,Australia,French Polynesia,0.018000000000000002,1.58,6158.040999999998
1185,Belgium,French Polynesia,0.024,1.31,12239.12
1186,China,French Polynesia,10.881,-0.49,411379.754
1187,Czechia,French Polynesia,0.002,0.9,4658.562
1188,"France, Monaco",French Polynesia,112.8,1.19,14637.760999999999
1189,Germany,French Polynesia,0.08,1.49,23017.288
1190,Indonesia,French Polynesia,2.048,-0.49,25303.601000000002
1191,Iran,French Polynesia,0.003,-0.98,3561.766
1192,Italy,French Polynesia,0.030000000000000002,0.63,9579.352
1193,Japan,French Polynesia,1.222,1.23,69993.533
1194,New Zealand,French Polynesia,0.003,1.78,474.91700000000003
1195,Singapore,French Polynesia,1.3199999999999998,1.52,57683.688
1196,Viet Nam,French Polynesia,0.015,-0.48,5188.044
1197,Spain,French Polynesia,0.001,0.95,7276.441000000001
1198,Sweden,French Polynesia,0.003,1.73,8622.961
1199,"Switzerland, Liechtenstein",French Polynesia,0.10400000000000001,1.75,3995.692
1200,"Switzerland, Liechtenstein",French Polynesia,0.10400000000000001,1.54,3995.692
1201,United Kingdom,French Polynesia,0.22200000000000003,1.46,34960.074
1202,Azerbaijan,Georgia,0.027,-0.83,170.51
1203,Austria,Georgia,0.034,1.55,3394.051
1204,Armenia,Georgia,0.003,-0.28,84.142
1205,Belgium,Georgia,0.091,1.31,12239.12
1206,Bulgaria,Georgia,0.392,0.18,1117.8220000000001
1207,China,Georgia,101.227,-0.49,411379.754
1208,Czechia,Georgia,0.014,0.9,4658.562
1209,Finland,Georgia,0.5449999999999999,1.84,2664.9170000000004
1210,"France, Monaco",Georgia,0.019,1.19,14637.760999999999
1211,Germany,Georgia,2.774,1.49,23017.288
1212,Greece,Georgia,0.082,0.5,3915.5150000000003
1213,Iran,Georgia,0.006,-0.98,3561.766
1214,Italy,Georgia,0.045,0.63,9579.352
1215,Kazakhstan,Georgia,0.007,-0.56,347.704
1216,Latvia,Georgia,0.552,0.67,355.83900000000006
1217,"Other Asia, not elsewhere specified",Georgia,0.096,,13215.868999999999
1218,Netherlands,Georgia,0.968,1.69,36637.42799999999
1219,Poland,Georgia,1.005,0.71,21556.831
1220,Russian Federation,Georgia,0.10400000000000001,-0.71,18765.510000000002
1221,Viet Nam,Georgia,0.008,-0.48,5188.044
1222,Spain,Georgia,0.003,0.95,7276.441000000001
1223,"Switzerland, Liechtenstein",Georgia,0.009000000000000001,1.75,3995.692
1224,"Switzerland, Liechtenstein",Georgia,0.009000000000000001,1.54,3995.692
1225,Turkey,Georgia,0.984,-0.2,7544.607
1226,United Kingdom,Georgia,0.715,1.46,34960.074
1227,Austria,State of Palestine,0.017,1.55,3394.051
1228,Germany,State of Palestine,0.064,1.49,23017.288
1229,Japan,State of Palestine,0.078,1.23,69993.533
1230,Netherlands,State of Palestine,0.009000000000000001,1.69,36637.42799999999
1231,Angola,Germany,0.542,-1.14,1332.205
1232,Australia,Germany,1.621,1.58,6158.040999999998
1233,Austria,Germany,52.348,1.55,3394.051
1234,Bahrain,Germany,0.068,0.05,79.94699999999999
1235,Belgium,Germany,155.815,1.31,12239.12
1236,Brazil,Germany,0.396,-0.03,13792.235999999999
1237,Bulgaria,Germany,1.497,0.18,1117.8220000000001
1238,Belarus,Germany,0.012,-0.79,387.173
1239,Canada,Germany,0.537,1.62,17531.729000000003
1240,China,Germany,7613.021000000001,-0.49,411379.754
1241,Croatia,Germany,0.43800000000000006,0.34,252.433
1242,Czechia,Germany,311.452,0.9,4658.562
1243,Denmark,Germany,55.711999999999996,1.78,7989.049999999999
1244,Estonia,Germany,0.10899999999999999,1.07,662.395
1245,Finland,Germany,3.5300000000000002,1.84,2664.9170000000004
1246,"France, Monaco",Germany,465.073,1.19,14637.760999999999
1247,Greece,Germany,15.697,0.5,3915.5150000000003
1248,Guatemala,Germany,0.005,-0.6,226.006
1249,"China, Hong Kong Special Administrative Region",Germany,150.08599999999998,1.35,99971.2
1250,Hungary,Germany,196.152,0.75,2429.925
1251,Iceland,Germany,0.03900000000000001,1.61,103.019
1252,Indonesia,Germany,314.481,-0.49,25303.601000000002
1253,Iran,Germany,0.004,-0.98,3561.766
1254,Ireland,Germany,1.859,1.48,1538.568
1255,Israel,Germany,963.556,0.63,6832.461
1256,Italy,Germany,71.428,0.63,9579.352
1257,Japan,Germany,1739.9740000000002,1.23,69993.533
1258,Kazakhstan,Germany,0.028,-0.56,347.704
1259,Republic of Korea,Germany,95.702,0.75,28784.924
1260,Latvia,Germany,3.2439999999999998,0.67,355.83900000000006
1261,Lithuania,Germany,0.749,0.78,458.13199999999995
1262,Luxembourg,Germany,5.545999999999999,1.71,127.797
1263,Malaysia,Germany,11.837,0.36,23304.784
1264,Malta,Germany,2.211,1.12,58.887
1265,Mexico,Germany,24.447999999999997,-0.17,19859.502
1266,"Other Asia, not elsewhere specified",Germany,15.959999999999999,,13215.868999999999
1267,Mongolia,Germany,0.016,-0.04,40.726
1268,Montenegro,Germany,0.01,0.05,30.244
1269,Oman,Germany,0.025,0.24,265.376
1270,Netherlands,Germany,715.1469999999999,1.69,36637.42799999999
1271,"Norway, Svalbard and Jan Mayen",Germany,56.096000000000004,1.73,2245.9860000000003
1272,Philippines,Germany,0.6759999999999999,-0.37,4481.732
1273,Poland,Germany,267.366,0.71,21556.831
1274,Portugal,Germany,0.125,1.09,724.57
1275,Romania,Germany,1077.34,0.11,5213.838
1276,Russian Federation,Germany,0.008,-0.71,18765.510000000002
1277,Saudi Arabia,Germany,0.017,-0.33,3947.6340000000005
1278,Serbia,Germany,0.011,-0.32,640.7230000000002
1279,India,Germany,0.727,-0.23,12479.099999999999
1280,Singapore,Germany,148.144,1.52,57683.688
1281,Slovakia,Germany,10.917,0.7,1870.2870000000003
1282,Viet Nam,Germany,2.981,-0.48,5188.044
1283,Slovenia,Germany,4.566000000000001,0.97,761.7780000000001
1284,South Africa,Germany,1.3780000000000001,0.29,58175.628000000004
1285,Spain,Germany,11.046,0.95,7276.441000000001
1286,Sweden,Germany,28.778999999999996,1.73,8622.961
1287,"Switzerland, Liechtenstein",Germany,118.833,1.75,3995.692
1288,"Switzerland, Liechtenstein",Germany,118.833,1.54,3995.692
1289,Thailand,Germany,1.0430000000000001,-0.14,5499.867
1290,United Arab Emirates,Germany,1.9940000000000002,0.55,17822.197999999997
1291,Turkey,Germany,0.013000000000000001,-0.2,7544.607
1292,Ukraine,Germany,0.1,-0.62,978.1
1293,United Kingdom,Germany,487.002,1.46,34960.074
1294,Australia,Ghana,0.388,1.58,6158.040999999998
1295,Belgium,Ghana,1.2069999999999999,1.31,12239.12
1296,Brazil,Ghana,0.029,-0.03,13792.235999999999
1297,Canada,Ghana,0.375,1.62,17531.729000000003
1298,China,Ghana,249.337,-0.49,411379.754
1299,Czechia,Ghana,0.002,0.9,4658.562
1300,Denmark,Ghana,9.883000000000001,1.78,7989.049999999999
1301,"France, Monaco",Ghana,0.077,1.19,14637.760999999999
1302,Germany,Ghana,0.13599999999999998,1.49,23017.288
1303,"China, Hong Kong Special Administrative Region",Ghana,1.099,1.35,99971.2
1304,Italy,Ghana,0.238,0.63,9579.352
1305,Côte d'Ivoire,Ghana,0.004,,215.259
1306,Kenya,Ghana,6.007,-0.67,607.021
1307,Republic of Korea,Ghana,0.07400000000000001,0.75,28784.924
1308,Malaysia,Ghana,0.002,0.36,23304.784
1309,Morocco,Ghana,0.066,-0.27,267.086
1310,Netherlands,Ghana,0.266,1.69,36637.42799999999
1311,"Norway, Svalbard and Jan Mayen",Ghana,1.362,1.73,2245.9860000000003
1312,Poland,Ghana,0.132,0.71,21556.831
1313,Singapore,Ghana,0.096,1.52,57683.688
1314,South Africa,Ghana,114.54,0.29,58175.628000000004
1315,Spain,Ghana,0.049,0.95,7276.441000000001
1316,"Switzerland, Liechtenstein",Ghana,0.005,1.75,3995.692
1317,"Switzerland, Liechtenstein",Ghana,0.005,1.54,3995.692
1318,United Arab Emirates,Ghana,3.898,0.55,17822.197999999997
1319,Turkey,Ghana,0.178,-0.2,7544.607
1320,United Kingdom,Ghana,9.452,1.46,34960.074
1321,United Republic of Tanzania,Ghana,1.478,-0.45,1444.3220000000001
1322,Austria,Greece,0.782,1.55,3394.051
1323,Belgium,Greece,3.327,1.31,12239.12
1324,Bulgaria,Greece,7.127,0.18,1117.8220000000001
1325,Canada,Greece,0.004,1.62,17531.729000000003
1326,China,Greece,1421.8319999999999,-0.49,411379.754
1327,Cyprus,Greece,0.007,0.98,111.28999999999999
1328,Czechia,Greece,0.449,0.9,4658.562
1329,Denmark,Greece,0.066,1.78,7989.049999999999
1330,Finland,Greece,0.008,1.84,2664.9170000000004
1331,"France, Monaco",Greece,3.245,1.19,14637.760999999999
1332,Germany,Greece,95.293,1.49,23017.288
1333,"China, Hong Kong Special Administrative Region",Greece,11.811,1.35,99971.2
1334,Hungary,Greece,0.9,0.75,2429.925
1335,Indonesia,Greece,77.772,-0.49,25303.601000000002
1336,Israel,Greece,0.138,0.63,6832.461
1337,Italy,Greece,4.788,0.63,9579.352
1338,Japan,Greece,0.14,1.23,69993.533
1339,Republic of Korea,Greece,0.256,0.75,28784.924
1340,Lithuania,Greece,0.015,0.78,458.13199999999995
