,sources,targets,q_total,IndexAvg,weights
90,Hungary,Argentina,0.04,0.75,2429.925
91,Indonesia,Argentina,68.06099999999999,-0.49,25303.601000000002
92,Israel,Argentina,0.641,0.63,6832.461
93,Italy,Argentina,5.272,0.63,9579.352
94,Japan,Argentina,11.965,1.23,69993.533
95,Republic of Korea,Argentina,0.293,0.75,28784.924
96,Lithuania,Argentina,0.029,0.78,458.13199999999995
97,Malaysia,Argentina,0.043000000000000003,0.36,23304.784
98,Mexico,Argentina,0.051000000000000004,-0.17,19859.502
99,"Other Asia, not elsewhere specified",Argentina,0.161,,13215.868999999999
100,Netherlands,Argentina,0.028999999999999998,1.69,36637.42799999999
101,"Norway, Svalbard and Jan Mayen",Argentina,0.014,1.73,2245.9860000000003
102,Philippines,Argentina,0.019,-0.37,4481.732
103,Romania,Argentina,0.506,0.11,5213.838
104,India,Argentina,0.003,-0.23,12479.099999999999
105,Singapore,Argentina,18.689,1.52,57683.688
106,Spain,Argentina,2.7549999999999994,0.95,7276.441000000001
107,Sweden,Argentina,0.254,1.73,8622.961
108,"Switzerland, Liechtenstein",Argentina,0.778,1.75,3995.692
109,"Switzerland, Liechtenstein",Argentina,0.778,1.54,3995.692
110,Thailand,Argentina,422.51300000000003,-0.14,5499.867
111,United Arab Emirates,Argentina,0.253,0.55,17822.197999999997
112,United Kingdom,Argentina,0.857,1.46,34960.074
113,"USA, Puerto Rico and US Virgin Islands",Argentina,32.855000000000004,1.28,45927.706
114,Austria,Australia,1.466,1.55,3394.051
115,Belgium,Australia,0.278,1.31,12239.12
116,Brazil,Australia,0.001,-0.03,13792.235999999999
117,Canada,Australia,0.601,1.62,17531.729000000003
118,China,Australia,4894.873,-0.49,411379.754
119,Denmark,Australia,3.293,1.78,7989.049999999999
120,Fiji,Australia,0.036,-0.13,28.554000000000002
121,Finland,Australia,0.021,1.84,2664.9170000000004
122,"France, Monaco",Australia,25.136000000000003,1.19,14637.760999999999
123,Germany,Australia,14.825,1.49,23017.288
124,"China, Hong Kong Special Administrative Region",Australia,149.103,1.35,99971.2
125,Indonesia,Australia,234.317,-0.49,25303.601000000002
126,Ireland,Australia,0.30100000000000005,1.48,1538.568
127,Israel,Australia,12.922999999999998,0.63,6832.461
128,Italy,Australia,1.734,0.63,9579.352
129,Japan,Australia,64.378,1.23,69993.533
130,Republic of Korea,Australia,1.491,0.75,28784.924
131,Lithuania,Australia,0.275,0.78,458.13199999999995
132,Luxembourg,Australia,0.016,1.71,127.797
133,Malaysia,Australia,43.935,0.36,23304.784
134,Mexico,Australia,0.755,-0.17,19859.502
135,"Other Asia, not elsewhere specified",Australia,29.424999999999997,,13215.868999999999
136,Netherlands,Australia,3.073,1.69,36637.42799999999
137,New Zealand,Australia,0.092,1.78,474.91700000000003
138,"Norway, Svalbard and Jan Mayen",Australia,0.491,1.73,2245.9860000000003
139,Philippines,Australia,2.6340000000000003,-0.37,4481.732
140,Poland,Australia,5.506,0.71,21556.831
141,Singapore,Australia,375.52799999999996,1.52,57683.688
142,Viet Nam,Australia,0.193,-0.48,5188.044
143,South Africa,Australia,95.97000000000001,0.29,58175.628000000004
144,Spain,Australia,0.14100000000000001,0.95,7276.441000000001
145,Sweden,Australia,8.362,1.73,8622.961
146,"Switzerland, Liechtenstein",Australia,3.407,1.75,3995.692
147,"Switzerland, Liechtenstein",Australia,3.407,1.54,3995.692
148,Thailand,Australia,0.613,-0.14,5499.867
149,United Arab Emirates,Australia,0.651,0.55,17822.197999999997
150,United Kingdom,Australia,9.702,1.46,34960.074
151,"USA, Puerto Rico and US Virgin Islands",Australia,67.962,1.28,45927.706
152,Australia,Austria,0.7,1.58,6158.040999999998
153,Belgium,Austria,15.034999999999998,1.31,12239.12
154,Bulgaria,Austria,0.169,0.18,1117.8220000000001
155,Canada,Austria,0.02,1.62,17531.729000000003
156,China,Austria,2124.092,-0.49,411379.754
157,Croatia,Austria,0.157,0.34,252.433
158,Czechia,Austria,124.703,0.9,4658.562
159,Denmark,Austria,1.171,1.78,7989.049999999999
160,Estonia,Austria,0.003,1.07,662.395
161,Finland,Austria,0.22899999999999998,1.84,2664.9170000000004
162,"France, Monaco",Austria,12.807,1.19,14637.760999999999
163,Georgia,Austria,0.266,-0.12,131.951
164,Germany,Austria,290.426,1.49,23017.288
165,Greece,Austria,0.089,0.5,3915.5150000000003
166,"China, Hong Kong Special Administrative Region",Austria,0.8799999999999999,1.35,99971.2
167,Hungary,Austria,3.4010000000000002,0.75,2429.925
168,Indonesia,Austria,361.95000000000005,-0.49,25303.601000000002
169,Iran,Austria,0.001,-0.98,3561.766
170,Ireland,Austria,0.531,1.48,1538.568
171,Israel,Austria,1.309,0.63,6832.461
172,Italy,Austria,2.545,0.63,9579.352
173,Japan,Austria,5.479,1.23,69993.533
174,Republic of Korea,Austria,4.087,0.75,28784.924
175,Luxembourg,Austria,0.5529999999999999,1.71,127.797
176,Malaysia,Austria,0.031,0.36,23304.784
177,Malta,Austria,0.319,1.12,58.887
178,Mexico,Austria,2.7279999999999998,-0.17,19859.502
179,"Other Asia, not elsewhere specified",Austria,1.85,,13215.868999999999
180,Netherlands,Austria,74.002,1.69,36637.42799999999
181,"Norway, Svalbard and Jan Mayen",Austria,0.132,1.73,2245.9860000000003
182,Philippines,Austria,0.08399999999999999,-0.37,4481.732
183,Poland,Austria,33.43,0.71,21556.831
184,Portugal,Austria,0.005,1.09,724.57
185,Romania,Austria,20.460000000000004,0.11,5213.838
186,India,Austria,0.497,-0.23,12479.099999999999
187,Singapore,Austria,6.1240000000000006,1.52,57683.688
188,Slovakia,Austria,8.556000000000001,0.7,1870.2870000000003
189,Slovenia,Austria,1.4569999999999999,0.97,761.7780000000001
190,Spain,Austria,5.248,0.95,7276.441000000001
191,Sweden,Austria,1.738,1.73,8622.961
