,IndexAvg,country_code,country_name_full,color
0,1.18,533,Aruba,green
1,1.37,20,Andorra,green
2,-1.65,4,Afghanistan,red
3,-1.14,24,Angola,red
4,1.13,660,Anguilla,green
5,-0.26,8,Albania,yellow
6,0.82,530,Netherlands Antilles,yellow
7,0.55,784,United Arab Emirates,yellow
8,-0.19,32,Argentina,yellow
9,-0.28,51,Armenia,yellow
10,0.78,16,American Samoa,yellow
11,0.67,28,Antigua and Barbuda,yellow
12,1.58,36,Australia,green
13,1.55,40,Austria,green
14,-0.83,31,Azerbaijan,yellow
15,-1.28,108,Burundi,red
16,1.31,56,Belgium,green
17,1.31,58,Belgium-Luxembourg,green
18,-0.23,204,Benin,yellow
19,-0.38,854,Burkina Faso,yellow
20,-0.86,50,Bangladesh,yellow
21,0.18,100,Bulgaria,yellow
22,0.05,48,Bahrain,yellow
23,0.95,44,Bahamas,yellow
24,-0.38,70,Bosnia Herzegovina,yellow
25,-0.79,112,Belarus,yellow
26,-0.06,84,Belize,yellow
27,1.1,60,Bermuda,green
28,-0.52,68,Plurinational State of Bolivia,yellow
29,-0.03,76,Brazil,yellow
30,1.12,52,Barbados,green
31,0.57,96,Brunei Darussalam,yellow
32,0.26,64,Bhutan,yellow
33,-1.84,728,South Sudan,red
34,0.69,72,Botswana,yellow
35,-1.39,140,Central African Republic,red
36,1.62,124,Canada,green
37,1.75,757,"Switzerland, Liechtenstein",green
38,1.12,152,Chile,green
39,-0.49,156,China,yellow
40,-0.9,384,C̫te d'Ivoire,yellow
41,-0.96,120,Cameroon,yellow
42,-1.12,178,Congo,red
43,0.04,184,Cook Islands,yellow
44,-0.38,170,Colombia,yellow
45,-0.91,174,Comoros,yellow
46,0.51,132,Cabo Verde,yellow
47,0.62,188,Costa Rica,yellow
48,-0.58,192,Cuba,yellow
49,1.08,136,Cayman Islands,green
50,0.98,196,Cyprus,yellow
51,0.9,203,Czechia,yellow
52,1.49,276,Germany,green
53,1.49,280,Former Federal Republic of Germany,green
54,-0.76,262,Djibouti,yellow
55,0.66,212,Dominica,yellow
56,1.78,208,Denmark,green
57,-0.3,214,Dominican Republic,yellow
